osm_id,status,place_id,resolved_name,resolved_lat,resolved_lng,reason
3479733224,low_confidence,ChIJKyVPs9ZwCDMRrFUIrrDhv5g,Manolette Bakeshop,11.2452001,125.0002255,distance=15.2km>5.0km
3480514800,resolved,ChIJtyvyn91xCDMRkp10eo89H7I,Dons Cabin Pension House,11.2455064,125.002537,
3480516672,resolved,ChIJyf8LdgB3CDMR6F42JbkQGJM,Mernan's Beach Resort,11.2127254,125.0268378,
3480525345,resolved,ChIJyxlBGMjZBzMRj38iGm1ScMg,Our Lady of the Assumption Parish Church,11.112941,125.0174735,
3480556642,resolved,ChIJ-0oOG9NwCDMRYHK3cqE_Pac,Viaje Holidays Travel Services,11.2410509,125.002446,
3480558775,low_confidence,ChIJbQ_vOFlleUgRUKcCFwAHMt4,Jen Jen's,53.5702598,-1.4393487,distance=11219.4km>5.0km
3480558965,resolved,ChIJ1d1sehtxCDMRJzTL_t9tNu8,Thaddeus,11.2461166,125.0040048,
3483203981,resolved,ChIJKyVPs9ZwCDMRrFUIrrDhv5g,Manolette Bakeshop,11.2452001,125.0002255,
3483211197,resolved,ChIJiwxChzrIlzMRrej7aOQShaw,Conti's Bakeshop & Restaurant - Shaw,14.5881984,121.0454603,
3483405158,low_confidence,ChIJrcgxMfNoqzMRnt4RhokujZ8,"Bambulo (Pizzaria, Bar, Pickleball,Pool, Bed & Breakfast Accommodation)",9.2580417,123.281778,name_similarity=57
3483619942,resolved,ChIJ2zbnsBhxCDMRQlxJpi3-W14,Tony's Mami,11.2447885,125.002796,
3484109593,resolved,ChIJQXiBgdFwCDMRcQax08NQp7s,Alpha Bakeshop,11.2462031,125.0002853,
3484112342,resolved,ChIJJ4wrcNFwCDMRZNo9ghP80Ys,Mister Donut,11.2448072,125.0023497,
3484112343,resolved,ChIJuc9erdFwCDMREGrcsKXXdfM,Fahrenheit Food Center,11.2449726,125.0029656,
3486192833,resolved,ChIJZzx-rhC3lzMRUVNBK4Q8MFw,NOMIXX RETRO GRILLE,14.6579565,121.0454998,
3487850460,resolved,ChIJ7UwmTr15ljMRmakyiFinIzU,IVERISH EATERY,14.9175843,120.2274602,
3487949266,resolved,ChIJZS-31tJwCDMRU2FS-KG2KT8,Bread Connect,11.2394408,125.0033176,
3487956902,resolved,ChIJ2_ppJtNwCDMR2Vqi_Qg8mOk,KUD'Z FRIED CHICKEN FOOD HAUS,11.2398067,125.0027234,
3488233132,resolved,ChIJcURAY9MdujMRTK9Ugw8qkPg,Trattoria Altrove,11.9984678,120.2030101,
3490093458,resolved,ChIJs-A6LcmMpzMR-pssDbkh58k,Park N' Go Bakeshop,11.5617954,124.3929221,
3490415701,resolved,ChIJJ_sCK4_FBzMR7srOfejDu8Y,Grelio's Cafe,10.953329,125.0331434,
3490446938,low_confidence,ChIJ5adDoNIPCDMRpZ2viIfpEvI,"El Garahe - Bar, Grill & Family KTV",11.300357,124.6919006,distance=53.5km>5.0km
3490472758,resolved,ChIJS84OPI_FBzMRmXRoWeeWolg,"Julie's Bakeshop Dulag, Leyte",10.9539554,125.0321676,
3490476378,low_confidence,ChIJE_DvUQC7BzMR_tQiwiZ6D40,McDonald's,10.7594624,125.0018667,distance=21.8km>5.0km
3490622571,low_confidence,ChIJiQzfQH_dBzMRaNisFPjQuuk,Dan Rei's Bakeshop,11.0661552,124.9039598,distance=38.1km>5.0km
3491017393,zero_results,,,,,ZERO_RESULTS
3491017493,resolved,ChIJVzcAh6rJlzMRmhXNSZUQ0Jk,Big Mama HOF,14.562463,121.030818,
3491209401,resolved,ChIJN570nTDIlzMRfqQ79ggC6Wg,The Aristocrat Restaurant - S&R Shaw,14.587672,121.0450377,
3491213278,resolved,ChIJVRN1g_DIlzMRORiVLAuYKPE,Yellow Cab Pizza Co.,14.5526543,121.0451044,
3492379993,resolved,ChIJw0OQZZ7JlzMRc0cNU6FOtNU,Bizu Mitsukoshi,14.5585739,121.0525701,
3492379994,resolved,ChIJQX9TK3bJlzMRxCMh9vQ5jVE,UCC Cafe Terrace Cafe,14.5634031,121.0378588,
3492379995,resolved,ChIJoSJyoAjJlzMRAoqY3FwBfY0,Apartment 1B,14.5589863,121.0221525,
3492623180,resolved,ChIJO8fUWABvqzMRGqeBWwqtgWs,Oppa coffee,9.3085546,123.3088324,
3492623219,resolved,ChIJqXdbHDZvqzMRNmrLZydAyRk,MIFUNE — Japanese Restaurant,9.308267,123.3088288,
3493057473,low_confidence,ChIJJwX2DQDxBzMRKyscpxiv-p8,Dimsum Break,11.0111826,124.6076256,distance=48.8km>5.0km
3493058289,resolved,ChIJpdRKrA93CDMRDqmkytdc9rA,Dunkin' - Robinsons Tacloban,11.2069822,125.0083108,
3493058586,low_confidence,ChIJsWJMqg93CDMRuG_-g41JzQs,CK Robinsons Tacloban,11.2072481,125.0083183,name_similarity=50
3493098550,resolved,ChIJY_b2j9FwCDMRwxtRJP1FufA,Greenwich,11.20738,125.0082645,
3493330808,resolved,ChIJNaKMLmHIlzMRMtq__ZvwG6A,Angel's Burger,14.5624835,121.0597498,
3494528293,resolved,ChIJAXXdouvKCTMRssz0Da5iahI,Iguid Beach Resort,11.8271935,124.8370158,
3496240826,low_confidence,ChIJV7smNRWBhTMRF6180QZXU2k,TAGUINOD STORE,17.5593147,121.6966811,distance=20.8km>5.0km
3496398464,low_confidence,ChIJHdZEBuy32YgRRRGhjtUIsHQ,Coral Gables Apartment Suite,25.7329006,-80.2602387,distance=14960.5km>5.0km
3496411871,low_confidence,ChIJm5QSRdxxCDMR10etxKsXRcI,Yolanda Memorial Monument,11.3135216,124.9762466,distance=22.9km>5.0km
3496530508,resolved,ChIJifRpgKT-lzMRO4SkHRqZB1c,Kaliraya Surf Kamp by Eco Hotels,14.2856311,121.5191187,
3497015972,resolved,ChIJ0fN1PgAFCDMRcvqeURTdpWs,Carigara Lighthouse,11.3024912,124.6849665,
3497091328,resolved,ChIJ_-v_OKpt-TIR4Hl_0zRQnS4,J.CO Donuts & Coffee - Ayala Malls Abreeza,7.090692499999999,125.610382,
3498316709,resolved,ChIJR_tjzDPIlzMRizcoIMEglzU,Bricks & Copper Turkish Cuisine,14.5912172,121.036734,
3498323963,resolved,ChIJ_-0gtSvIlzMR-DWO21hKtyI,Sincerity Wu Xiang House of Chicken,14.6022713,121.0343209,
3498333403,low_confidence,ChIJxa1JnLSvlzMRD4aYy3P1aHQ,Ran de Bake,14.7940711,121.0354002,distance=13.1km>5.0km
3499203340,resolved,ChIJQR2MrTPIlzMRK-_27e7j10A,McDonald's,14.5891772,121.0367622,
3500239223,resolved,ChIJJ2DtCwC1lzMRXQK9SldgQvQ,Mang Inasal,14.625011,120.9641323,
